,Born,Died,Occupation,Parent(s),name,Citizenship,Spouse(s),Institution,Field,School ortradition,Alma mater,Doctoraladvisor,Doctoralstudents,Influences,Awards,Nationality,Contributions,Known for,Preceded by,Alma mater,Profession,Website,Institutions,Fields,Notable work,Thesis,Prime Minister,Succeeded by,Political party,Other politicalaffiliations,Signature,Doctoral advisor,Doctoral students,Deputy,Secretary-General,Children,Education,Venerated in,Canonized,Major shrine,Feast,Attributes,Patronage,President,Era,Region,School,Notable students,Main interests,Notable ideas,Genre,Notable works,Notable awards,Spouse,Employer,Net worth,Relations,Nickname(s),Serving with,Constituency,Influenced,Premier,Other notable students,Governor,Resting place,Title,Successor,Nominated by,Majority,Parents,Known for,Appointed by,Date of birth,Place of birth,Knessets,2006–2015,2009–2011,Monarch,Governor General,Leader,Relatives,Disappeared,Status,Chair,Tradition or movement,Academic advisors,Residence,Allegiance,Service/branch,Years of service,Rank,Unit,Academicadvisors,Vice Chancellor,Bundestag Leader,Chancellor,Branch/service,Battles/wars,Other academic advisors,Discipline,School or tradition,Director,Origin,Genres,Occupation(s),Years active,Labels,Associated acts,Authority control ,Other names,First Deputy,Other notable students,Years active,GovernorGeneral,Sub-discipline,Family,Cause of death,Cause of death,Vice Premier,Cabinet,Religion,Denomination,Jurisprudence,Creed,Main interest(s),Notable idea(s),Vice President,Mother,Father,Predecessor,Board member of,Partner(s),House Speaker,Net worth,Pen name,Charges,Alias,Height,Weight,Added,Removed,Number,Motto,Formation,Founder,Type,Location,Revenue .mw-parser-output .nobold{font-weight:normal}(2018) ,Expenses (2018),Lieutenant Governor,Subject,First Mayor,Domestic partner,Hangul,Revised Romanization,McCune–Reischauer,Movement,Affiliation,Committees,General Manager,Church,Diocese,Appointed,In office,Consecration,Buried
10,"(1914-04-12)April 12, 1914Fresno, California, U.S.","February 19, 2013(2013-02-19) (aged 98)Los Angeles, California, U.S.",,,Armen_Alchian,,,,MicroeconomicsProperty rights,New Institutional EconomicsChicago SchoolNeoclassical economics,"Stanford University (BA 1936, PhD 1943)",,"William F. Sharpe,[1] David R. Henderson,[2] Steven N. S. Cheung,[3] Jerry Jordan[4]","Adam Smith,[5] Ludwig von Mises,[6] Friedrich Hayek[7][8]",Distinguished Fellow of the American Economic Association (1996),American,,,,,,,"University of California, Los Angeles (1946–84)RAND Corporation (1946–64)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"(1957-04-29)April 29, 1957Broni, Pavia, Italy","May 23, 2020(2020-05-23) (aged 63)New York City, US",,,Alberto_Alesina,,,Harvard University,Political economics,,Harvard UniversityBocconi University,Jeffrey Sachs,Silvana Tenreyro,,,Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"(1911-05-31)31 May 1911Paris, France","9 October 2010(2010-10-09) (aged 99)Saint-Cloud,[1] near Paris, France",,,Maurice_Allais,,,,MacroeconomicsBehavioral economics,Walrasian economics,École PolytechniqueÉcole Nationale Supérieure des Mines de ParisUniversity of Paris,,,Léon Walras Irving FisherVilfredo Pareto,Nobel Prize in Economics (1988),French,Overlapping generations modelgolden rule of optimal growthTransaction demand for money ruleAllais paradox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13, (1956-03-06) 6 March 1956 (age 64),,,,Franklin_Allen,,,"
University of Pennsylvania
Imperial College London
",Financial economics,,"University of East Anglia (B.A.)Nuffield College, Oxford (D.Phil)",James Mirrlees[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"(1906-06-03)3 June 1906Stoke-on-Trent, Staffordshire, England","29 September 1983(1983-09-29) (aged 77)[1]Southwold, Suffolk, England",,,R._G._D._Allen,,,,,,University of Cambridge,,,,"Guy Medal (Gold, 1978)",British,,Partial elasticity of substitution,,,,,London School of Economics,Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15," (1936-05-05) May 5, 1936 (age 84)Racine, Wisconsin",,"Lionel R. Bauman Professor of Political Economy at the University of Maryland, College Park",,Gar_Alperovitz,,,,,,"B.S. University of WisconsinM.A. University of California, BerkeleyPh.D. University of Cambridge",,,,,,,,,,,garalperovitz.com,,,"The Decision to Use the Atomic Bomb
America Beyond Capitalism

Unjust Deserts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16," (1951-03-29) March 29, 1951 (age 69)Port Washington, Wisconsin",,,,Lee_J._Alston,,,,,,"Indiana University, Bloomington, University of Washington",,,,"Cliometric Society Award in 2012, past president of the International Society for the New Institutional Economics",American,,,,,,,"Indiana University, Bloomington",Economic history,,"Cost of contracting and decline or tennancy in the South, 1930-1960 (1978)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"(1874-03-26)March 26, 1874Berlin","October 21, 1930(1930-10-21) (aged 56)Mannheim",Economist,,Elisabeth_Altmann-Gottheiner,,,,,,,,,,,German,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,Fernando_Alvarez_(economist),,,,,,,Edward C. Prescott[1],Iván Werning[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"(1891-04-14)14 April 1891Mhow, Central Provinces, British India (now in Madhya Pradesh, India)","6 December 1956(1956-12-06) (aged 65)Delhi, India",,,B._R._Ambedkar,,Ramabai(m. 1906; died 1935)[1]Savita Ambedkar (m. 1948)[2],,,,,,,,Bharat Ratna (posthumously in 1990),,,,Feroz Khan Noon,"
University of Mumbai (BA)
Columbia University (MA, PhD)
London School of Economics (MSc, DSc)
Gray's Inn (Barrister-at-Law)
","Jurist, economist, politician, social reformer",,,,,,Jawaharlal Nehru,Position abolished,Scheduled Castes Federation,"Independent Labour Party, Republican Party of India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20," (1935-03-29) March 29, 1935 (age 85)Tokyo, Japan",,,,Takeshi_Amemiya,,,,,,Johns Hopkins University,,,,,Japanese,,,,,,,Stanford University,Economics,,,,,,,,Carl F. Christ,James L. PowellVictor Chernozhukov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"1955Vancouver, British Columbia",,,,Donald_Andrews,,,Yale University,Econometrics,,"University of California, BerkeleyUniversity of British Columbia",Thomas J. Rothenberg[1]Peter J. Bickel[1],,,,Canadian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"1975Athens, Greece",,,,George-Marios_Angeletos,,,University of ZürichMIT,Macroeconomics,,HarvardAthens University of Economics and Business,Robert J. Barro[1],,,Bodossaki Foundation Prize (2008),Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"Ralph Norman Angell Lane(1872-12-26)26 December 1872Holbeach, England","7 October 1967(1967-10-07) (aged 94)Croydon, Surrey, England","lecturer, journalist, author, politician",,Norman_Angell,,,,,,,,,,,British,,Nobel Peace Prize (1933),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24," (1960-09-18) September 18, 1960 (age 59)Columbus, Ohio",,,,Joshua_Angrist,,,Massachusetts Institute of Technology,"Econometrics, labour economics",,Princeton UniversityOberlin College,Orley Ashenfelter,Esther DufloMelissa Kearney,,,American,Local average treatment effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"(1938-04-08)8 April 1938Kumasi, Gold Coast(now Ghana)","18 August 2018(2018-08-18) (aged 80)Bern, Switzerland",Diplomat,,Kofi_Annan,,"Titi Alakija(m. 1965; div. 1983)Nane Lagergren(m. 1984, his death)",,,,,,,,,,,,Marrack Goulding,,,,,,,,,Bernard Miyet,,,,,,Louise FréchetteMark Malloch Brown,Boutros Boutros-Ghali,"3, including Kojo Annan",Kumasi College of Science and TechnologyMacalester CollegeGraduate Institute of International and Development StudiesMassachusetts Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"(1938-04-01)April 1, 1938Nagoya, Aichi, Japan","July 15, 2015(2015-07-15) (aged 77)California, United States",,,Masahiko_Aoki,,,Stanford UniversityHarvard University Kyoto University,Comparative Institutional Analysis,New institutional economics,University of Minnesota (Ph.D. 1967) Tokyo University (M.A. 1964)   (B.A. 1962),John Chipman,,Leonid Hurwicz,,Japanese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"1225Roccasecca, Kingdom of Sicily (now Lazio, Italy)","7 March 1274 (aged 48–49)Fossanova, Papal States (now Lazio, Italy)",,,Thomas_Aquinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catholic ChurchAnglican Communion[1]Lutheranism[2],"18 July 1323, Avignon, Papal States by Pope John XXII","Church of the Jacobins, Toulouse, France","28 January (ordinary form), 7 March (extraordinary form)","The Summa theologiae, a model church, the sun on the chest of a Dominican friar","Academics; against storms; against lightning; apologists; Aquino, Italy; Belcastro, Italy; book sellers; Catholic academies, schools, and universities; chastity; Falena, Italy; learning; pencil makers; philosophers; publishers; scholars; students; University of Santo Tomas; Sto. Tomas, Batangas; Mangaldan, Pangasinan; theologians[3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28," (1952-03-01) 1 March 1952 (age 68)São Paulo, Brazil",,,,P%C3%A9rsio_Arida,,,,,,,,,,,,,,Luis Carlos Delben Leite,University of São Paulo  Massachusetts Institute of Technology,,,,,,,,Edmar Bacha,,,,,,,,,,,,,,,,Itamar Franco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29," (1967-04-29) April 29, 1967 (age 53)New York City, New York, U.S.",,,,Dan_Ariely,,,,,,Duke UniversityUniversity of North Carolina at Chapel HillTel Aviv University,,,,,"Israeli, American",,Behavioral Economics,,,,danariely.com,Duke UniversityMassachusetts Institute of Technology,Behavioral economicsDecision making,,,,,,,,James BettmanJohn G. Lynch Jr.,,,,,Cognitive	Psychology (PhD)Business Administration (PhD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"384 BC[A]Stagira, Chalcidian League","322 BC (aged 61–62)Euboea, Macedonian Empire",,,Aristotle,,Pythias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ancient Greek philosophy,Western philosophy,"
Peripatetic school
Aristotelianism
","Alexander the Great, Theophrastus","
Biology
Zoology
Psychology[1][2]
Physics
Metaphysics
Logic
Ethics
Rhetoric
Music
Poetry
Economics
Politics
Government
","
Aristotelian philosophy
Syllogism
Theory of the soul
Virtue ethics
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"Heinz Wolfgang Arndt26 February 1915Breslau, Germany(now Wrocław, Poland)","6 May 2002 (2002-05-07) (aged 87)Canberra, Australia","economist, lecturer, editor, author",,Heinz_Arndt,,,,,,,,,,,Australian,,,,,,,,,,,,,,,,,,,,ChristopherNicholasBettina,"Lincoln College, Oxford, University of Oxford",,,,,,,,,,,,,,Economics,The Economic Lessons of the Nineteen ThirtiesThe Australian Trading BanksThe Rise and Fall of Economic Growth: A Study of Contemporary Thought,Bintang Jasa Pratama (Indonesian Presidential Medal of Merit) (1995),Ruth (née Strohsahl),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"Kenneth Joseph Arrow(1921-08-23)23 August 1921New York City, New York, U.S.","21 February 2017(2017-02-21) (aged 95)Palo Alto, California, U.S.",,,Kenneth_Arrow,,,Stanford University,MicroeconomicsGeneral equilibrium theorySocial choice theory,Neoclassical economics,City College of New YorkColumbia University,Harold Hotelling,"
Michael Bruno
John Geanakoplos
Joshua Gans
Nancy Gordon
Gillian Hadfield
John Harsanyi
Jan Kmenta
Jean-Jacques Laffont
Eric S. Maskin
Roger Myerson
Andrea Prat[1]
Karl Shell
Michael Spence
Nancy Stokey[2]
Menahem E. Yaari [de]
","
Alfred Tarski[3]
","
John Bates Clark Medal (1957)
Nobel Prize in Economics (1972)
von Neumann Theory Prize (1986)
National Medal of Science (2004)
ForMemRS (2006)[4]
",American,General equilibrium theoryFundamental theorems of welfare economicsArrow's impossibility theoremEndogenous growth theory,,,,,healthpolicy.fsi.stanford.edu/people/kenneth_j_arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33," (1942-10-18) October 18, 1942 (age 77)San Francisco, California",,,,Orley_Ashenfelter,,,Princeton University,"Labor economics, applied econometrics",,Princeton UniversityClaremont McKenna College,Albert ReesStephen Goldfeld,John DriffillHenry FarberJoseph AltonjiDavid E. BloomDavid Card[1]Janet CurrieJoshua Angrist,,Jacob Mincer Award (2005)IZA Prize in Labor Economics (2003)Frisch Medal (1982),American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"25 February 1860Bermondsey, South London",23 July 1927(1927-07-23) (aged 67)Canterbury,,,William_Ashley_(economic_historian),,,,Economic history,English historical school,,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35," (1966-10-17) October 17, 1966 (age 53)Queens, New York, U.S.",,Hedge fund manager,,Cliff_Asness,,Laurel Elizabeth Fraser,,,,University of Pennsylvania University of Chicago Booth School of Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AQR Capital Management,US$2.6 billion (April 2020)[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36," (1970-11-29) November 29, 1970 (age 49)Boston, Massachusetts",,,,Susan_Athey,,,Stanford University,MicroeconomicsEconometricsMachine Learning,,Stanford Graduate School of BusinessDuke University,Paul MilgromDonald John RobertsEdward Lazear,,,John Bates Clark Medal (2007),United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
